Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalFinishedSF,HouseAge,RemodelAge,OverallQualCond,TotalPorchSF,TotalGarageSize,OverallGrade,BathsPerBed,LotFrontageToLotArea,NeighborhoodMedianPrice
164,45,RL,55.0,5500,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Unf,4,6,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,882,882,GasA,Ex,Y,SBrkr,882,0,0,882,0,0,1,0,1,1,TA,4,Typ,0,None,None,1980.0,None,0,0,None,None,Y,0,0,0,0,0,0,MnPrv,None,0,4,2007,WD,Normal,103200,1764,882,51,51,24,0,0,7824,1.0,0.01,119000.0
165,40,RM,40.0,5400,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,7,1926,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,TA,TA,Mn,LwQ,370,Unf,0,779,1149,GasA,Gd,Y,FuseA,1149,467,0,1616,0,0,2,0,3,1,Gd,5,Typ,0,None,Detchd,1926.0,Unf,1,216,TA,TA,Y,0,0,183,0,0,0,None,None,0,10,2007,WD,Normal,152000,2765,1986,81,3,42,183,217,11556,0.6666666666666666,0.007407407407407408,119000.0
166,190,RL,62.0,10106,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,5,7,1940,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,ALQ,351,Rec,181,112,644,GasA,Gd,Y,SBrkr,808,547,0,1355,1,0,2,0,4,2,TA,6,Typ,0,None,None,1980.0,None,0,0,None,None,Y,140,0,0,0,0,0,None,None,0,9,2008,WD,Normal,127500,1999,1887,68,9,35,0,0,9700,0.5,0.006134969325153374,121750.0
167,20,RL,69.0,10708,None,IR1,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,TA,TA,No,LwQ,379,BLQ,768,470,1617,GasA,Ex,Y,FuseA,1867,0,0,1867,1,0,1,0,2,1,TA,7,Typ,3,Gd,Attchd,1955.0,Fin,1,303,TA,TA,Y,476,0,0,0,142,0,GdWo,None,0,11,2009,COD,Normal,190000,3484,3014,54,16,25,142,304,9775,0.5,0.006443780351139335,200250.0
168,60,RL,86.0,10562,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,300.0,Gd,TA,PConc,Ex,TA,No,GLQ,1288,Unf,0,294,1582,GasA,Ex,Y,SBrkr,1610,551,0,2161,1,0,1,1,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,789,TA,TA,Y,178,120,0,0,0,0,None,None,0,11,2007,New,Partial,325624,3743,3449,0,0,40,120,792,16056,0.5,0.008142397273243705,315000.0
169,60,RL,62.0,8244,None,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,880,0,1720,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,Fin,2,440,TA,TA,Y,100,48,0,0,0,0,None,None,0,5,2007,WD,Normal,183500,2560,1720,3,3,35,48,442,14028,0.8333333333333334,0.007520621057738962,181000.0
170,20,RL,69.0,16669,None,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,8,6,1981,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1686,1686,GasA,TA,Y,SBrkr,1707,0,0,1707,0,0,2,1,2,1,TA,6,Typ,1,TA,Attchd,1981.0,RFn,2,511,TA,TA,Y,574,64,0,0,0,0,None,None,0,1,2006,WD,Normal,228000,3393,1707,25,25,48,64,513,15848,1.25,0.004139420481132641,228475.0
171,50,RM,69.0,12358,None,IR1,Lvl,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,360,Unf,0,360,720,GasA,TA,Y,SBrkr,854,0,528,1382,0,0,1,1,2,1,TA,7,Typ,0,None,Detchd,1991.0,Unf,2,660,TA,TA,Y,237,0,0,0,0,0,None,None,0,5,2007,WD,Normal,128500,1574,1214,66,57,30,0,662,9705,0.75,0.005583427739116362,119000.0
172,20,RL,141.0,31770,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Y,SBrkr,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2,528,TA,TA,P,210,62,0,0,0,0,None,None,0,5,2010,WD,Normal,215000,2736,2295,50,50,30,62,530,11760,0.3333333333333333,0.004438149197355996,140000.0
173,160,RL,44.0,5306,None,IR1,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,7,1987,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,495,Rec,215,354,1064,GasA,Gd,Y,SBrkr,1064,703,0,1767,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1987.0,RFn,2,504,Gd,TA,Y,441,35,0,0,0,0,None,None,0,6,2006,WD,Normal,239000,2831,2477,19,19,49,35,506,13909,1.0,0.008292499057670561,278000.0
174,20,RL,80.0,10197,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,TA,TA,CBlock,TA,TA,No,ALQ,288,Rec,374,700,1362,GasA,TA,Y,SBrkr,1362,0,0,1362,1,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961.0,Unf,2,504,TA,TA,Y,0,20,0,0,0,0,None,None,0,6,2008,COD,Normal,163000,2724,2024,47,47,30,20,506,11766,0.5,0.007845444738648621,140000.0
175,20,RL,47.0,12416,None,IR1,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,VinylSd,Plywood,Stone,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,1398,LwQ,208,0,1606,GasA,TA,Y,SBrkr,1651,0,0,1651,1,0,2,0,3,1,TA,7,Min2,1,TA,Attchd,1986.0,Fin,2,616,TA,TA,Y,192,0,0,0,0,0,None,None,0,11,2008,WD,Normal,184000,3257,3257,22,22,30,0,618,11916,0.6666666666666666,0.003785438144329897,228475.0
176,20,RL,84.0,12615,None,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,2001,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,Gd,Av,ALQ,477,Unf,0,725,1202,GasA,TA,Y,SBrkr,2158,0,0,2158,1,0,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,1950.0,Unf,2,576,TA,TA,Y,0,29,39,0,0,0,MnPrv,None,0,6,2007,WD,Normal,243000,3360,2635,57,6,42,68,578,11700,0.5,0.006658739595719381,121750.0
177,60,RL,97.0,10029,None,IR1,Lvl,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831,Unf,0,320,1151,GasA,TA,Y,SBrkr,1164,896,0,2060,0,1,2,1,4,1,TA,8,Typ,1,TA,Attchd,1988.0,Unf,2,521,TA,TA,Y,0,228,0,0,192,0,None,None,0,9,2007,WD,Normal,211000,3211,2891,19,18,30,420,523,11928,0.625,0.009671951341110778,200250.0
178,50,RL,69.0,13650,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,CBlock,TA,TA,No,ALQ,57,BLQ,441,554,1052,GasA,Ex,Y,SBrkr,1252,668,0,1920,1,0,2,0,4,1,Gd,8,Typ,1,Gd,Attchd,1958.0,Unf,2,451,TA,TA,Y,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,172500,2972,2418,48,48,25,0,453,9790,0.5,0.005054945054945055,135000.0
179,20,RL,63.0,17423,None,IR1,Lvl,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,1904,Unf,0,312,2216,GasA,Ex,Y,SBrkr,2234,0,0,2234,1,0,2,0,1,1,Ex,9,Typ,1,Gd,Attchd,2009.0,Fin,3,1166,TA,TA,Y,0,60,0,0,0,0,None,None,0,7,2009,New,Partial,501837,4450,4138,1,0,45,60,1169,18072,2.0,0.0036159100040176776,278000.0
180,30,RM,60.0,8520,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,0,968,968,GasA,TA,Y,SBrkr,968,0,0,968,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1935.0,Unf,2,480,Fa,TA,N,0,0,184,0,0,0,None,None,0,7,2007,WD,Normal,100000,1936,968,84,1,30,184,482,9615,0.5,0.007042253521126761,119000.0
181,160,FV,69.0,2117,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,436,Unf,0,320,756,GasA,Ex,Y,SBrkr,769,756,0,1525,0,0,2,1,3,1,Gd,5,Typ,1,TA,Detchd,2000.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,None,None,0,6,2007,WD,Normal,177000,2281,1961,7,7,30,0,442,12000,0.8333333333333334,0.03259329239489844,225500.0
182,70,RL,54.0,7588,None,Reg,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,352,Unf,0,441,793,GasA,Gd,Y,SBrkr,901,901,0,1802,0,0,1,1,4,1,TA,9,Typ,1,Gd,Detchd,1920.0,Unf,1,216,Fa,TA,Y,0,0,40,0,0,0,None,None,0,7,2006,WD,Normal,200100,2595,2154,86,56,42,40,217,13440,0.375,0.007116499736425936,200624.0
183,20,RL,60.0,9060,None,Reg,Lvl,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,Ex,Y,SBrkr,1340,0,0,1340,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1957.0,RFn,1,252,TA,TA,Y,116,0,0,180,0,0,MnPrv,None,0,6,2007,WD,Normal,120000,1340,1340,50,1,30,180,253,9785,0.3333333333333333,0.006622516556291391,121750.0
184,50,RM,63.0,11426,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1362,1362,GasA,Ex,Y,SBrkr,1362,720,0,2082,0,0,2,1,3,1,Gd,6,Mod,0,None,Detchd,2003.0,Unf,2,484,TA,TA,N,280,238,0,0,0,0,None,None,0,6,2008,WD,Normal,200000,3444,2082,5,5,35,238,486,14021,0.8333333333333334,0.005513740591633117,119000.0
185,50,RL,92.0,7438,None,IR1,Lvl,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Fa,TA,No,Unf,0,Unf,0,504,504,GasA,Gd,Y,SBrkr,936,316,0,1252,0,0,1,0,3,1,TA,5,Typ,0,None,Attchd,1986.0,Unf,2,576,TA,TA,Y,104,0,0,0,0,0,MnPrv,None,0,6,2006,WD,Normal,127000,1756,1252,98,15,40,0,578,9540,0.3333333333333333,0.012368916375369724,124300.0
186,75,RM,90.0,22950,None,IR2,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,Ex,Y,SBrkr,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,Typ,2,TA,Detchd,1993.0,Unf,3,840,Ex,TA,Y,0,260,0,0,410,0,GdPrv,None,0,6,2006,WD,Normal,475000,4143,3036,114,13,90,670,843,18920,0.625,0.00392156862745098,119000.0
187,80,RL,69.0,9947,None,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611,Unf,0,577,1188,GasA,Ex,Y,SBrkr,1217,0,0,1217,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1990.0,Unf,2,497,TA,TA,Y,168,27,0,0,0,0,GdPrv,None,0,6,2009,WD,Normal,173000,2405,1828,19,18,35,27,499,13930,0.6666666666666666,0.006936764853724741,153500.0
188,50,RL,60.0,10410,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,660,660,GasA,Ex,Y,SBrkr,808,704,144,1656,0,0,2,1,3,1,TA,8,Min2,0,None,Detchd,1916.0,Unf,1,180,Fa,Fa,N,0,0,0,140,0,0,MnPrv,None,0,8,2009,WD,Normal,135000,2172,1512,93,22,35,140,181,9580,0.8333333333333334,0.005763688760806916,119000.0
189,90,RL,64.0,7018,None,Reg,Bnk,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,GasA,TA,Y,SBrkr,1224,0,0,1224,2,0,0,2,2,2,TA,6,Typ,2,TA,Detchd,1979.0,Unf,2,528,TA,TA,Y,120,0,0,0,0,0,None,None,0,6,2009,WD,Alloca,153337,2310,2310,30,30,25,0,530,9895,0.5,0.009119407238529496,179900.0
190,120,RL,41.0,4923,None,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153,Unf,0,440,1593,GasA,Ex,Y,SBrkr,1593,0,0,1593,1,0,1,1,0,1,Ex,5,Typ,1,Gd,Attchd,2001.0,Fin,2,682,TA,TA,Y,0,120,0,0,224,0,None,None,0,8,2008,WD,Normal,286000,3186,2746,7,6,40,344,684,16008,inf,0.00832825512898639,278000.0
191,70,RL,70.0,10570,None,Reg,Bnk,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1932,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,Gd,Gd,No,Rec,297,Unf,0,556,853,GasA,TA,Y,SBrkr,1549,1178,0,2727,0,0,2,1,3,1,Gd,10,Maj1,2,TA,Detchd,1932.0,Unf,2,440,TA,TA,Y,0,74,0,0,0,0,None,None,0,12,2007,WD,Normal,315000,3580,3024,75,13,64,74,442,15456,0.8333333333333334,0.006622516556291391,200624.0
192,60,RL,69.0,7472,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,TA,TA,CBlock,TA,TA,No,ALQ,626,Unf,0,99,725,GasA,Gd,Y,SBrkr,725,754,0,1479,1,0,1,1,4,1,Gd,7,Typ,0,None,Attchd,1972.0,Fin,2,484,TA,TA,Y,0,32,0,0,0,0,None,None,0,6,2007,WD,Normal,184000,2204,2105,35,3,63,32,486,13804,0.375,0.009234475374732334,140000.0
193,20,RL,68.0,9017,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,1431,GasA,Ex,Y,SBrkr,1431,0,0,1431,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1999.0,Fin,2,666,TA,TA,Y,0,35,0,0,0,0,None,None,0,9,2009,WD,Normal,192000,2862,1991,10,10,35,35,668,13993,0.6666666666666666,0.0075413108572696015,197200.0
194,160,RM,24.0,2522,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,970,970,GasA,Ex,Y,SBrkr,970,739,0,1709,0,0,2,0,3,1,Gd,7,Maj1,0,None,Detchd,2004.0,Unf,2,380,TA,TA,Y,0,40,0,0,0,0,None,None,0,5,2006,WD,Normal,130000,2679,1709,2,2,35,40,382,14028,0.6666666666666666,0.00951625693893735,121750.0
195,20,RL,60.0,7180,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1989.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,None,None,0,5,2008,WD,Normal,127000,1728,1254,36,36,35,0,353,9860,0.3333333333333333,0.008356545961002786,197200.0
196,160,RL,24.0,2280,None,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,566,Unf,0,289,855,GasA,TA,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,Unf,2,440,TA,TA,Y,87,0,0,0,0,0,None,None,0,7,2009,WD,Normal,148500,2311,2022,33,33,36,0,442,11856,0.8333333333333334,0.010526315789473684,146000.0
197,20,RL,79.0,9416,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,1126,Unf,0,600,1726,GasA,Ex,Y,SBrkr,1726,0,0,1726,1,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,786,TA,TA,Y,171,138,0,0,266,0,None,None,0,9,2007,New,Partial,311872,3452,2852,0,0,35,404,789,14049,0.6666666666666666,0.008389974511469838,225500.0
198,75,RL,174.0,25419,None,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0.0,Gd,Gd,PConc,TA,TA,No,GLQ,1036,LwQ,184,140,1360,GasA,Gd,Y,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,Gd,8,Typ,1,Ex,Detchd,1918.0,Unf,2,795,TA,TA,Y,0,16,552,0,0,512,GdPrv,None,0,3,2006,WD,Abnorml,235000,4080,3940,88,16,32,568,797,15344,0.5,0.006845273220819072,140000.0
199,75,RM,92.0,5520,None,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,755,755,GasA,Ex,Y,SBrkr,929,929,371,2229,0,0,1,0,5,1,TA,8,Typ,0,None,None,1980.0,None,0,0,None,None,Y,0,198,30,0,0,0,MnPrv,None,0,7,2009,WD,Abnorml,104000,2613,1858,97,59,36,228,0,11472,0.2,0.016666666666666666,119000.0
200,20,RL,76.0,9591,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,GasA,Ex,Y,SBrkr,1713,0,0,1713,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2004.0,Fin,3,856,TA,TA,Y,0,26,0,0,170,0,None,None,0,1,2009,WD,Normal,274900,3426,2801,5,4,40,196,859,16032,0.6666666666666666,0.007924095506203733,315000.0
201,20,RM,80.0,8546,None,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1121,1121,GasA,Ex,Y,SBrkr,1121,0,0,1121,0,0,2,0,2,1,TA,5,Typ,0,None,Attchd,2003.0,RFn,2,440,TA,TA,Y,132,64,0,0,0,0,None,None,0,3,2010,WD,Normal,140000,2242,1121,7,6,20,64,442,8012,1.0,0.00936110461034402,121750.0
202,20,RL,75.0,10125,None,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641,LwQ,279,276,1196,GasA,TA,Y,SBrkr,1279,0,0,1279,0,1,2,0,3,1,TA,6,Typ,2,Fa,Detchd,1980.0,Unf,2,473,TA,TA,Y,238,83,0,0,0,0,MnPrv,None,0,2,2008,WD,Normal,171500,2475,2199,31,31,36,83,475,11862,0.6666666666666666,0.007407407407407408,153500.0
203,50,RL,50.0,7000,None,Reg,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,Fa,TA,No,LwQ,617,Unf,0,0,617,GasA,Gd,Y,SBrkr,865,445,0,1310,0,0,2,0,2,1,TA,6,Min1,0,None,Attchd,1924.0,Unf,1,398,TA,TA,Y,0,0,126,0,0,0,None,None,0,5,2006,COD,Normal,112000,1927,1927,82,56,36,126,399,11544,1.0,0.007142857142857143,119000.0
204,120,RM,69.0,4438,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,848,GasA,Ex,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,2004.0,RFn,2,420,TA,TA,Y,149,0,0,0,0,0,None,None,0,1,2008,WD,Normal,149000,1696,1510,4,4,30,0,422,12024,1.0,0.015547543938711132,197200.0
205,50,RM,50.0,3500,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,312,Unf,0,408,720,GasA,TA,Y,SBrkr,720,564,0,1284,0,0,1,1,2,1,TA,5,Typ,0,None,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,35,0,0,0,0,MnWw,None,0,4,2009,WD,Normal,110000,2004,1596,62,59,35,35,241,9735,0.75,0.014285714285714285,119000.0
206,20,RL,99.0,11851,None,Reg,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1424,1424,GasA,Ex,Y,SBrkr,1442,0,0,1442,0,0,2,0,3,1,TA,5,Typ,0,None,Attchd,1990.0,RFn,2,500,TA,TA,Y,0,34,0,508,0,0,None,None,0,5,2009,WD,Normal,180500,2866,1442,19,19,35,542,502,13930,0.6666666666666666,0.00835372542401485,181000.0
207,20,RL,40.0,13673,None,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1140,1140,GasA,TA,Y,SBrkr,1696,0,0,1696,0,0,1,1,3,1,TA,8,Min2,1,TA,Attchd,1962.0,RFn,1,349,TA,TA,Y,0,30,0,0,0,0,None,None,0,3,2007,WD,Normal,143900,2836,1696,45,45,25,30,350,9810,0.5,0.002925473561032692,135000.0
208,20,RL,69.0,12493,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,419,Rec,306,375,1100,GasA,TA,Y,SBrkr,1100,0,0,1100,1,0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1960.0,RFn,1,312,TA,TA,Y,355,0,0,0,0,0,GdWo,None,0,4,2008,WD,Normal,141000,2200,1825,48,48,20,0,313,7840,0.3333333333333333,0.005523092932041944,140000.0
209,60,RL,69.0,14364,None,IR1,Low,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157,GasA,Ex,Y,SBrkr,1180,882,0,2062,1,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1988.0,Fin,2,454,TA,TA,Y,60,55,0,0,154,0,None,None,0,4,2007,WD,Normal,277000,3219,3127,19,18,35,209,456,13916,0.8333333333333334,0.004803675856307435,179900.0
